primary_purpose,outbound,tour_hour,trip_num,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24
work,FALSE,3,4,0,0,0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142,0,0,0.21428571428571427,0,0.07142857142857142,0,0.07142857142857142,0.07142857142857142,0,0,0,0,0,0,0,0
work,FALSE,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,4,2,0,0,0,0.4230769230769231,0.4478021978021978,0.07967032967032966,0.016483516483516484,0.005494505494505495,0.005494505494505495,0.005494505494505495,0,0.005494505494505495,0.0027472527472527475,0.0027472527472527475,0.0027472527472527475,0,0,0,0.0027472527472527475,0,0,0,0,0
work,FALSE,4,3,0,0,0,0.1111111111111111,0.4126984126984127,0.1746031746031746,0.12698412698412698,0.047619047619047616,0.015873015873015872,0.047619047619047616,0.047619047619047616,0,0,0,0,0.015873015873015872,0,0,0,0,0,0,0,0
work,FALSE,4,4,0,0,0,0.038461538461538464,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.038461538461538464,0.038461538461538464,0,0,0,0,0,0,0,0.038461538461538464,0,0,0
work,FALSE,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,5,2,0,0,0,0,0.6180451127819548,0.2992481203007519,0.03458646616541353,0.013533834586466165,0.009022556390977444,0.010526315789473684,0.0015037593984962407,0.0015037593984962407,0.004511278195488722,0.006015037593984963,0,0.0015037593984962407,0,0,0,0,0,0,0,0
work,FALSE,5,3,0,0,0,0,0.2318840579710145,0.42028985507246375,0.08695652173913043,0.028985507246376812,0.036231884057971016,0.057971014492753624,0.06521739130434782,0.021739130434782608,0.007246376811594203,0.007246376811594203,0.028985507246376812,0,0.007246376811594203,0,0,0,0,0,0,0
work,FALSE,5,4,0,0,0,0,0.09433962264150944,0.18867924528301888,0.1509433962264151,0.03773584905660377,0.1320754716981132,0.09433962264150944,0.07547169811320754,0.09433962264150944,0.05660377358490566,0.03773584905660377,0.018867924528301886,0,0,0.018867924528301886,0,0,0,0,0,0
work,FALSE,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,6,2,0,0,0,0,0,0.6630434782608695,0.20652173913043478,0.05434782608695652,0.035326086956521736,0.010869565217391304,0.002717391304347826,0.010869565217391304,0,0.002717391304347826,0.008152173913043478,0,0.002717391304347826,0,0,0.002717391304347826,0,0,0,0
work,FALSE,6,3,0,0,0,0,0,0.3037974683544304,0.24050632911392406,0.13924050632911392,0.0759493670886076,0.11392405063291139,0.02531645569620253,0.0379746835443038,0.02531645569620253,0.02531645569620253,0,0,0,0.012658227848101266,0,0,0,0,0,0
work,FALSE,6,4,0,0,0,0,0,0.1111111111111111,0.19444444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.027777777777777776,0,0,0,0,0,0,0,0
work,FALSE,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,7,2,0,0,0,0,0,0,0.5172413793103449,0.3333333333333333,0.10344827586206896,0.011494252873563218,0.011494252873563218,0.011494252873563218,0,0,0,0,0.011494252873563218,0,0,0,0,0,0,0
work,FALSE,7,3,0,0,0,0,0,0,0.03225806451612903,0.12903225806451613,0.2903225806451613,0.1935483870967742,0.12903225806451613,0,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.03225806451612903,0,0,0,0,0,0,0,0
work,FALSE,7,4,0,0,0,0,0,0,0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.1111111111111111,0,0,0,0.05555555555555555,0,0.05555555555555555,0,0,0,0,0
work,FALSE,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,8,2,0,0,0,0,0,0,0,0.5555555555555556,0.26666666666666666,0.13333333333333333,0.044444444444444446,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,8,3,0,0,0,0,0,0,0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.23809523809523808,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,8,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
work,FALSE,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,9,2,0,0,0,0,0,0,0,0,0.3333333333333333,0.5185185185185185,0.1111111111111111,0.037037037037037035,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,9,3,0,0,0,0,0,0,0,0,0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0
work,FALSE,9,4,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.07142857142857142,0,0.07142857142857142,0,0,0,0,0,0,0,0
work,FALSE,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,10,2,0,0,0,0,0,0,0,0,0,0.34782608695652173,0.34782608695652173,0.13043478260869565,0.13043478260869565,0,0,0,0,0,0,0.043478260869565216,0,0,0,0
work,FALSE,10,3,0,0,0,0,0,0,0,0,0,0.2,0.3,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0
work,FALSE,10,4,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0
work,FALSE,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,11,2,0,0,0,0,0,0,0,0,0,0,0.2608695652173913,0.5652173913043478,0.13043478260869565,0.043478260869565216,0,0,0,0,0,0,0,0,0,0
work,FALSE,11,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3333333333333333,0.16666666666666666,0,0,0,0,0,0,0,0,0,0
work,FALSE,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,0,0,0,0,0,0,0,0
work,FALSE,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,12,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4444444444444444,0.05555555555555555,0,0,0,0,0,0,0,0,0,0
work,FALSE,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.3333333333333333,0,0,0,0,0,0,0,0,0
work,FALSE,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
work,FALSE,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.3,0.1,0.1,0.1,0,0,0,0,0,0,0
work,FALSE,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.7142857142857143,0,0.14285714285714285,0,0,0,0,0,0,0,0
work,FALSE,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
work,FALSE,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
work,FALSE,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45454545454545453,0.45454545454545453,0,0,0.09090909090909091,0,0,0,0,0,0
work,FALSE,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.2,0,0,0,0,0,0,0,0
work,FALSE,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
work,FALSE,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
work,FALSE,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0
work,FALSE,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0
work,FALSE,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
work,FALSE,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
work,FALSE,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0,0,0,0.16666666666666666,0,0,0,0
work,FALSE,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
work,FALSE,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
work,FALSE,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
work,FALSE,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
work,FALSE,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
work,FALSE,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
work,FALSE,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
work,FALSE,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
work,FALSE,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
work,FALSE,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
work,FALSE,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
work,FALSE,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0
work,FALSE,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
work,FALSE,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
work,FALSE,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
work,FALSE,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
work,FALSE,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
work,FALSE,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2
work,FALSE,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
work,FALSE,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25
work,FALSE,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25
work,FALSE,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25
work,FALSE,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
work,FALSE,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
work,FALSE,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
work,FALSE,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
work,FALSE,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
work,FALSE,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
work,FALSE,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
work,FALSE,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
work,FALSE,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
work,FALSE,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
work,FALSE,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
work,FALSE,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
univ,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,1,2,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
univ,FALSE,1,3,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
univ,FALSE,1,4,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
univ,FALSE,2,1,0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
univ,FALSE,2,2,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,2,3,0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
univ,FALSE,2,4,0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
univ,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,3,3,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,3,4,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,4,2,0,0,0,0,0.5454545454545454,0.18181818181818182,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,4,3,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0
univ,FALSE,4,4,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
univ,FALSE,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,5,2,0,0,0,0,0.15789473684210525,0.3157894736842105,0.2631578947368421,0,0.05263157894736842,0.10526315789473684,0,0,0.05263157894736842,0,0,0.05263157894736842,0,0,0,0,0,0,0,0
univ,FALSE,5,3,0,0,0,0,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.2222222222222222,0,0.1111111111111111,0.16666666666666666,0,0,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0,0,0,0
univ,FALSE,5,4,0,0,0,0,0,0,0,0.2727272727272727,0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0
univ,FALSE,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,6,2,0,0,0,0,0,0.2857142857142857,0.32142857142857145,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0,0,0.03571428571428571,0,0,0,0,0,0,0,0,0
univ,FALSE,6,3,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,6,4,0,0,0,0,0,0,0.058823529411764705,0,0.058823529411764705,0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0,0.11764705882352941,0,0,0,0,0
univ,FALSE,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,7,2,0,0,0,0,0,0,0.3225806451612903,0.22580645161290322,0.12903225806451613,0.16129032258064516,0.12903225806451613,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,7,3,0,0,0,0,0,0,0,0.11764705882352941,0.058823529411764705,0.4117647058823529,0.17647058823529413,0.17647058823529413,0,0,0,0.058823529411764705,0,0,0,0,0,0,0,0
univ,FALSE,7,4,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0,0,0,0,0,0,0,0
univ,FALSE,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,8,2,0,0,0,0,0,0,0,0.5833333333333334,0.3333333333333333,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,8,3,0,0,0,0,0,0,0,0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0
univ,FALSE,8,4,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0,0,0,0,0,0,0,0,0
univ,FALSE,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,9,2,0,0,0,0,0,0,0,0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,9,3,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,9,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0
univ,FALSE,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,10,2,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,10,3,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0,0
univ,FALSE,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
univ,FALSE,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,11,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0
univ,FALSE,11,3,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
univ,FALSE,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
univ,FALSE,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,12,3,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
univ,FALSE,12,4,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
univ,FALSE,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
univ,FALSE,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.42857142857142855,0,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0,0,0
univ,FALSE,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
univ,FALSE,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
univ,FALSE,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
univ,FALSE,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.5,0.16666666666666666,0,0,0,0,0,0,0,0
univ,FALSE,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
univ,FALSE,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
univ,FALSE,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
univ,FALSE,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
univ,FALSE,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
univ,FALSE,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
