coefficient_name,value,constrain
coef_work_from_home_constant,0.438361,T
coef_full_time_worker,-0.811935,F
coef_female_worker,-0.347009,F
coef_female_worker_preschool_child,0.572657,F
coef_access_to_workplaces,-0.140426,F
coef_non_working_adult_in_hh,-0.372481,F
coef_low_income,-0.393068,F
coef_age_lt_35,-0.573545,F
coef_age_35_to_45,0.0,F
coef_age_45_to_55,0.21438,F
coef_age_55_to_65,0.451657,F
coef_age_65_plus,0.583518,F
#calibration,,
coef_boone,-1.3837263275405929,T
coef_cook,-1.0264466251467048,T
coef_dekalb,-1.348712731384336,T
coef_dupage,-0.7945066825298258,T
coef_grundy,-1.7863096324803582,T
coef_kane,-1.1200172640090715,T
coef_kankakee,-1.6025687344073034,T
coef_kendall,-1.163243404175115,T
coef_kenosha,-1.8093895258817574,T
coef_laporte,-1.8083166780897697,T
coef_lasalle,-2.0027248564393636,T
coef_lake_il,-0.9512462862652874,T
coef_lake_in,-1.8041125477072206,T
coef_lee,-2.1707932348552923,T
coef_mchenry,-1.1185690516692017,T
coef_ogle,-1.4814230492375184,T
coef_porter,-1.5201330918315559,T
coef_racine,-1.6749726267440197,T
coef_walworth,-1.4872235211414995,T
coef_will,-1.2436907432002402,T
coef_winnebago,-1.7141291135970145,T
