coefficient_name,value,constrain
coef_unavailable,-999,T
coef_cars1_drivers_1,-0.45793564,F
coef_cars1_drivers_2,0,T
coef_cars1_drivers_3_up,0.553150409,F
coef_cars1_persons_16_17,-0.331829543,F
coef_cars1_persons_18_24,-0.451913379,F
coef_cars1_persons_25_34,-0.401705533,F
coef_cars1_presence_children_0_4,0.654025958,F
coef_cars1_presence_children_5_17,0.458993811,F
coef_cars1_num_workers_clip_3,0.094662801,F
coef_cars1_hh_income_0_15k,-2.727216175,F
coef_cars1_hh_income_15_35k,-1.613442289,F
coef_cars1_hh_income_35_50k,-0.744297797,F
coef_cars1_hh_income_50_75k,-0.616614245,F
coef_cars1_density,-0.038822173,F
coef_cars1_retail_transit,-0.406410586,F
coef_cars1_retail_non_motor,0,T
coef_cars1_auto_time_saving_per_worker,1.31,F
coef_cars1_univ_GQ,-3.56,T
coef_cars2_drivers_1,-3.556029382,F
coef_cars2_drivers_2,0,T
coef_cars2_drivers_3_up,0.99176352,F
coef_cars2_persons_16_17,-0.909793102,F
coef_cars2_persons_18_24,-0.589988274,F
coef_cars2_persons_25_34,-0.549855438,F
coef_cars2_presence_children_0_4,0.804546987,F
coef_cars2_presence_children_5_17,0.817437324,F
coef_cars2_num_workers_clip_3,0.311638709,F
coef_cars2_hh_income_0_15k,-4.397665992,F
coef_cars2_hh_income_15_35k,-2.838382375,F
coef_cars2_hh_income_35_50k,-1.816190122,F
coef_cars2_hh_income_50_75k,-1.126443777,F
coef_cars2_density,-0.242567597,F
coef_cars2_retail_transit,-0.584418277,F
coef_cars2_retail_non_motor,-0.058800397,F
coef_cars2_auto_time_saving_per_worker,0.906,F
coef_cars3_drivers_1,-3.570280207,F
coef_cars3_drivers_2,0,T
coef_cars3_drivers_3_up,2.964239005,F
coef_cars34_persons_16_17,-1.06325381,F
coef_cars34_persons_18_24,-0.468975207,F
coef_cars34_persons_25_34,-0.700945469,F
coef_cars34_presence_children_0_4,0.364680252,F
coef_cars34_presence_children_5_17,0.352200187,F
coef_cars3_num_workers_clip_3,0.554623961,F
coef_cars3_hh_income_0_15k,-4.795773492,F
coef_cars3_hh_income_15_35k,-3.504114595,F
coef_cars3_hh_income_35_50k,-2.339396533,F
coef_cars3_hh_income_50_75k,-1.343631478,F
coef_cars3_density,-0.378205407,F
coef_cars3_retail_transit,-0.668391966,F
coef_cars3_retail_non_motor,-0.099318636,F
coef_cars3_auto_time_saving_per_worker,0.9,F
coef_cars4_drivers_1,-3.194252513,F
coef_cars4_drivers_2,0,T
coef_cars4_drivers_3_up,3.161594315,F
coef_cars4_num_workers_clip_3,0.932689724,F
coef_cars4_hh_income_0_15k,-4.837250483,F
coef_cars4_hh_income_15_35k,-3.604074249,F
coef_cars4_hh_income_35_50k,-2.287577751,F
coef_cars4_hh_income_50_75k,-1.405514933,F
coef_cars4_density,-0.441376272,F
coef_cars4_retail_transit,-0.663381278,F
coef_cars4_retail_non_motor,-0.136968154,F
coef_cars4_auto_time_saving_per_worker,0.538,F
coef_cars1,4.651762891,F
coef_cars2,7.290345113,F
coef_cars3,5.896832227,F
coef_cars4,4.647644485,F
coef_cars0_cook,0.069795762,F
coef_cars0_boone,2.311094947,F
coef_cars0_dekalb,0.922678017,F
coef_cars0_grundy,1.355434926,F
coef_cars0_kankakee,2.213350695,F
coef_cars0_kendall,0.965676311,F
coef_cars0_kenosha,1.576902257,F
coef_cars0_laporte,1.979883166,F
coef_cars0_lasalle,1.616408603,F
coef_cars0_lake_il,0.264145537,F
coef_cars0_lake_in,1.959011127,F
coef_cars0_lee,1.667918865,F
coef_cars0_mchenry,0.499618257,F
coef_cars0_ogle,1.975056525,F
coef_cars0_porter,1.472677831,F
coef_cars0_racine,1.965861399,F
coef_cars0_walworth,1.296241867,F
coef_cars0_winnebago,2.102069531,F
